Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"UFPT","UFP TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","277.609,76","0,01","277.609,76","2.014,00","137,84","Vereinigte Staaten","NASDAQ","USD"
"HY","HYSTER YALE MATERIALS HANDLING INC","Industrie","Aktien","277.044,26","0,01","277.044,26","5.261,00","52,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NVAX","NOVAVAX INC","Gesundheitsversorgung","Aktien","276.526,51","0,01","276.526,51","36.053,00","7,67","Vereinigte Staaten","NASDAQ","USD"
"8609","OKASAN SECURITIES GROUP INC","Financials","Aktien","276.564,46","0,01","276.564,46","88.400,00","3,13","Japan","Tokyo Stock Exchange","JPY"
"9519","RENOVA INC","Versorger","Aktien","276.082,69","0,01","276.082,69","19.600,00","14,09","Japan","Tokyo Stock Exchange","JPY"
"SWBI","SMITH WESSON BRANDS INC","Zyklische Konsumgüter ","Aktien","275.582,54","0,01","275.582,54","22.927,00","12,02","Vereinigte Staaten","NASDAQ","USD"
"4095","NIHON PARKERIZING LTD","Materialien","Aktien","275.317,45","0,01","275.317,45","35.400,00","7,78","Japan","Tokyo Stock Exchange","JPY"
"ALM","ALMIRALL SA","Gesundheitsversorgung","Aktien","275.360,26","0,01","275.360,26","26.805,00","10,27","Spanien","Bolsa De Madrid","EUR"
"VIMIAN","VIMIAN GROUP","Gesundheitsversorgung","Aktien","274.535,18","0,01","274.535,18","75.739,00","3,62","Schweden","Nasdaq Omx Nordic","SEK"
"KORI","KORIAN","Gesundheitsversorgung","Aktien","274.110,72","0,01","274.110,72","31.609,00","8,67","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"2778","CHAMPION REAL ESTATE INVESTMENT TR","Immobilien","Aktien","274.116,55","0,01","274.116,55","658.039,00","0,42","Hongkong","Hong Kong Exchanges & Clearing Ltd","HKD"
"PLYA","PLAYA HOTELS & RESORTS NV","Zyklische Konsumgüter ","Aktien","274.309,84","0,01","274.309,84","29.464,00","9,31","Vereinigte Staaten","NASDAQ","USD"
"7613","SIIX CORP","IT","Aktien","273.858,92","0,01","273.858,92","27.500,00","9,96","Japan","Tokyo Stock Exchange","JPY"
"SKIS B","SKISTAR CLASS B","Zyklische Konsumgüter ","Aktien","273.926,62","0,01","273.926,62","21.302,00","12,86","Schweden","Nasdaq Omx Nordic","SEK"
"EFC","ELLINGTON FINANCIAL INC","Financials","Aktien","273.558,94","0,01","273.558,94","21.422,00","12,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"2327","NS SOLUTIONS CORP","IT","Aktien","273.704,70","0,01","273.704,70","10.100,00","27,10","Japan","Tokyo Stock Exchange","JPY"
"OSPN","ONESPAN INC","IT","Aktien","273.707,06","0,01","273.707,06","18.569,00","14,74","Vereinigte Staaten","NASDAQ","USD"
"HYQ","HYPOPORT N","Financials","Aktien","273.284,82","0,01","273.284,82","1.706,00","160,19","Deutschland","Xetra","EUR"
"BWE","BW ENERGY LTD","Energie","Aktien","273.389,47","0,01","273.389,47","102.197,00","2,68","Norwegen","Oslo Bors Asa","NOK"
"TRUE B","TRUECALLER CLASS B","IT","Aktien","272.783,89","0,01","272.783,89","91.678,00","2,98","Schweden","Nasdaq Omx Nordic","SEK"
"CRMT","AMERICAS CAR MART INC","Zyklische Konsumgüter ","Aktien","272.602,49","0,01","272.602,49","3.391,00","80,39","Vereinigte Staaten","NASDAQ","USD"
"OPEN","OPENDOOR TECHNOLOGIES INC","Immobilien","Aktien","271.564,68","0,01","271.564,68","196.786,00","1,38","Vereinigte Staaten","NASDAQ","USD"
"EHAB","ENHABIT INC","Gesundheitsversorgung","Aktien","271.717,25","0,01","271.717,25","22.181,00","12,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"990","THEME INTERNATIONAL HOLDINGS LTD","Industrie","Aktien","271.264,60","0,01","271.264,60","2.340.000,00","0,12","Hongkong","Hong Kong Exchanges & Clearing Ltd","HKD"
"SNBR","SLEEP NUMBER CORP","Zyklische Konsumgüter ","Aktien","270.532,35","0,01","270.532,35","11.997,00","22,55","Vereinigte Staaten","NASDAQ","USD"
"IOVA","IOVANCE BIOTHERAPEUTICS INC","Gesundheitsversorgung","Aktien","270.652,32","0,01","270.652,32","47.988,00","5,64","Vereinigte Staaten","NASDAQ","USD"
"LC","LENDINGCLUB CORP","Financials","Aktien","270.262,38","0,01","270.262,38","37.641,00","7,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ACCO","ACCO BRANDS CORP","Industrie","Aktien","269.963,52","0,01","269.963,52","58.944,00","4,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6183","BELLSYSTEM24 HOLDINGS INC","Industrie","Aktien","269.248,34","0,01","269.248,34","26.300,00","10,24","Japan","Tokyo Stock Exchange","JPY"
