Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"CRBN","CORBION NV","Materialien","Aktien","670.497,84","0,02","670.497,84","21.310,00","31,46","Niederlande","Euronext Amsterdam","EUR"
"7313","TS TECH LTD","Zyklische Konsumgüter ","Aktien","670.510,04","0,02","670.510,04","50.000,00","13,41","Japan","Tokyo Stock Exchange","JPY"
"TCBK","TRICO BANCSHARES","Financials","Aktien","670.184,15","0,02","670.184,15","18.715,00","35,81","Vereinigte Staaten","NASDAQ","USD"
"THFF","FIRST FINANCIAL CORPORATION INDIAN","Financials","Aktien","669.717,20","0,02","669.717,20","19.384,00","34,55","Vereinigte Staaten","NASDAQ","USD"
"1860","TODA CORP","Industrie","Aktien","669.738,92","0,02","669.738,92","115.000,00","5,82","Japan","Tokyo Stock Exchange","JPY"
"FDP","FRESH DEL MONTE PRODUCE INC","Nichtzyklische Konsumgüter","Aktien","669.517,20","0,02","669.517,20","23.320,00","28,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FAN","VOLUTION GROUP PLCINARY","Industrie","Aktien","668.690,70","0,02","668.690,70","122.754,00","5,45","Vereinigtes Königreich","London Stock Exchange","GBP"
"CIA","CHAMPION IRON LTD","Materialien","Aktien","668.283,28","0,02","668.283,28","156.298,00","4,28","Australien","Asx - All Markets","AUD"
"BOY","BODYCOTE PLC","Industrie","Aktien","668.335,63","0,02","668.335,63","77.007,00","8,68","Vereinigtes Königreich","London Stock Exchange","GBP"
"SBH","SALLY BEAUTY HOLDINGS INC","Zyklische Konsumgüter ","Aktien","668.397,33","0,02","668.397,33","46.971,00","14,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SMS","SMART METERING SYSTEMS PLC","Industrie","Aktien","668.222,16","0,02","668.222,16","67.042,00","9,97","Vereinigtes Königreich","London Stock Exchange","GBP"
"IPS","IPSOS SA","Kommunikation","Aktien","667.879,11","0,02","667.879,11","12.306,00","54,27","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ROCK","GIBRALTAR INDUSTRIES INC","Industrie","Aktien","667.933,92","0,02","667.933,92","13.348,00","50,04","Vereinigte Staaten","NASDAQ","USD"
"MVNE","MIVNE REAL ESTATE LTD","Immobilien","Aktien","667.627,76","0,02","667.627,76","240.376,00","2,78","Israel","Tel Aviv Stock Exchange","ILS"
"RADI","RADIUS GLOBAL INFRASTRUCTURE INC C","Kommunikation","Aktien","667.278,56","0,02","667.278,56","45.424,00","14,69","Vereinigte Staaten","NASDAQ","USD"
"QTCOM","QT GROUP","IT","Aktien","666.940,69","0,02","666.940,69","7.751,00","86,05","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"4534","MOCHIDA PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","667.043,66","0,02","667.043,66","26.100,00","25,56","Japan","Tokyo Stock Exchange","JPY"
"SBCF","SEACOAST BANKING OF FLORIDA","Financials","Aktien","667.053,59","0,02","667.053,59","30.061,00","22,19","Vereinigte Staaten","NASDAQ","USD"
"2175","SMS LTD","Industrie","Aktien","665.824,55","0,02","665.824,55","28.600,00","23,28","Japan","Tokyo Stock Exchange","JPY"
"EYE","NATIONAL VISION HOLDINGS INC","Zyklische Konsumgüter ","Aktien","665.368,96","0,02","665.368,96","31.624,00","21,04","Vereinigte Staaten","NASDAQ","USD"
"SUN","SULZER AG","Industrie","Aktien","664.937,92","0,02","664.937,92","7.944,00","83,70","Schweiz","SIX Swiss Exchange","CHF"
"7762","CITIZEN WATCH LTD","IT","Aktien","662.831,86","0,02","662.831,86","120.500,00","5,50","Japan","Tokyo Stock Exchange","JPY"
"MEI","METHODE ELECTRONICS INC","IT","Aktien","662.931,27","0,02","662.931,27","16.173,00","40,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"5706","MITSUI MINING & SMELTING LTD","Materialien","Aktien","661.822,05","0,02","661.822,05","27.900,00","23,72","Japan","Tokyo Stock Exchange","JPY"
"HAIN","HAIN CELESTIAL GROUP INC","Nichtzyklische Konsumgüter","Aktien","660.290,18","0,02","660.290,18","36.826,00","17,93","Vereinigte Staaten","NASDAQ","USD"
"8060","CANON MARKETING JAPAN INC","IT","Aktien","659.751,04","0,02","659.751,04","26.500,00","24,90","Japan","Tokyo Stock Exchange","JPY"
"8955","JAPAN PRIME REALTY INVESTMENT REIT","Immobilien","Aktien","659.413,21","0,02","659.413,21","254,00","2.596,12","Japan","Tokyo Stock Exchange","JPY"
"PHOE","PHOENIX HOLDINGS LTD","Financials","Aktien","659.147,53","0,02","659.147,53","62.017,00","10,63","Israel","Tel Aviv Stock Exchange","ILS"
"SLVM","SYLVAMO CORP","Materialien","Aktien","658.341,76","0,02","658.341,76","14.368,00","45,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LBRT","LIBERTY ENERGY INC CLASS A","Energie","Aktien","658.536,48","0,02","658.536,48","51.408,00","12,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9076","SEINO HOLDINGS LTD","Industrie","Aktien","658.076,60","0,02","658.076,60","59.500,00","11,06","Japan","Tokyo Stock Exchange","JPY"
"BOSN","BOSSARD HOLDING AG","Industrie","Aktien","658.163,59","0,02","658.163,59","2.681,00","245,49","Schweiz","SIX Swiss Exchange","CHF"
"8425","MIZUHO LEASING LIMITED LTD","Financials","Aktien","655.821,98","0,02","655.821,98","23.500,00","27,91","Japan","Tokyo Stock Exchange","JPY"
"CVBF","CVB FINANCIAL CORP","Financials","Aktien","655.880,61","0,02","655.880,61","43.813,00","14,97","Vereinigte Staaten","NASDAQ","USD"
"DARK","DARKTRACE PLC","IT","Aktien","655.485,65","0,02","655.485,65","186.187,00","3,52","Vereinigtes Königreich","London Stock Exchange","GBP"
"SSL","SANDSTORM GOLD LTD","Materialien","Aktien","655.616,69","0,02","655.616,69","114.148,00","5,74","Kanada","Toronto Stock Exchange","CAD"
"PHP","PRIMARY HEALTH PROPERTIES REIT PLC","Immobilien","Aktien","655.155,62","0,02","655.155,62","489.434,00","1,34","Vereinigtes Königreich","London Stock Exchange","GBP"
"303","VTECH HOLDINGS LTD","IT","Aktien","655.196,08","0,02","655.196,08","109.314,00","5,99","Hongkong","Hong Kong Exchanges & Clearing Ltd","HKD"
"HUB","HUB24 LTD","Financials","Aktien","655.387,57","0,02","655.387,57","35.056,00","18,70","Australien","Asx - All Markets","AUD"
"CNNE","CANNAE HOLDINGS INC","Financials","Aktien","655.399,68","0,02","655.399,68","35.932,00","18,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SDE","SPARTAN DELTA CORP","Energie","Aktien","655.403,63","0,02","655.403,63","57.835,00","11,33","Kanada","Toronto Stock Exchange","CAD"
"2206","EZAKI GLICO LTD","Nichtzyklische Konsumgüter","Aktien","654.518,42","0,02","654.518,42","25.500,00","25,67","Japan","Tokyo Stock Exchange","JPY"
"TCAP","TP ICAP GROUP PLC","Financials","Aktien","654.119,23","0,02","654.119,23","305.951,00","2,14","Vereinigtes Königreich","London Stock Exchange","GBP"
"BPT","BEACH ENERGY LTD","Energie","Aktien","653.482,42","0,02","653.482,42","672.688,00","0,97","Australien","Asx - All Markets","AUD"
"WSBC","WESBANCO INC","Financials","Aktien","653.707,34","0,02","653.707,34","24.557,00","26,62","Vereinigte Staaten","NASDAQ","USD"
"MRVI","MARAVAI LIFESCIENCES HOLDINGS INC","Gesundheitsversorgung","Aktien","653.149,56","0,02","653.149,56","47.364,00","13,79","Vereinigte Staaten","NASDAQ","USD"
"PDN","PALADIN ENERGY LTD","Energie","Aktien","652.969,60","0,02","652.969,60","1.508.512,00","0,43","Australien","Asx - All Markets","AUD"
"ASIX","ADVANSIX INC","Materialien","Aktien","652.768,32","0,02","652.768,32","17.324,00","37,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MGPI","MGP INGREDIENTS INC","Nichtzyklische Konsumgüter","Aktien","652.373,48","0,02","652.373,48","6.611,00","98,68","Vereinigte Staaten","NASDAQ","USD"
"9504","CHUGOKU ELECTRIC POWER INC","Versorger","Aktien","652.558,29","0,02","652.558,29","124.100,00","5,26","Japan","Tokyo Stock Exchange","JPY"
"PRAA","PRA GROUP INC","Financials","Aktien","652.062,06","0,02","652.062,06","17.978,00","36,27","Vereinigte Staaten","NASDAQ","USD"
"BGCP","BGC PARTNERS INC CLASS A","Financials","Aktien","650.965,53","0,02","650.965,53","143.701,00","4,53","Vereinigte Staaten","NASDAQ","USD"
"NVA","NUVISTA ENERGY LTD","Energie","Aktien","651.018,27","0,02","651.018,27","75.083,00","8,67","Kanada","Toronto Stock Exchange","CAD"
"GMT","GOODMAN PROPERTY TRUST UNITS","Immobilien","Aktien","651.073,46","0,02","651.073,46","482.432,00","1,35","Neuseeland","New Zealand Exchange Ltd","NZD"
"BRE","FRENI BREMBO","Zyklische Konsumgüter ","Aktien","649.397,24","0,02","649.397,24","44.194,00","14,69","Italien","Borsa Italiana","EUR"
"SHO","SUNSTONE HOTEL INVESTORS REIT INC","Immobilien","Aktien","648.630,86","0,02","648.630,86","68.062,00","9,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ERG","ERG","Versorger","Aktien","648.460,68","0,02","648.460,68","21.437,00","30,25","Italien","Borsa Italiana","EUR"
"PJT","PJT PARTNERS INC CLASS A","Financials","Aktien","648.088,48","0,02","648.088,48","9.424,00","68,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RSW","RENISHAW PLC","IT","Aktien","648.224,05","0,02","648.224,05","14.310,00","45,30","Vereinigtes Königreich","London Stock Exchange","GBP"
"8242","H2O RETAILING CORP","Nichtzyklische Konsumgüter","Aktien","647.890,43","0,02","647.890,43","55.000,00","11,78","Japan","Tokyo Stock Exchange","JPY"
"SRCE","1ST SOURCE CORP","Financials","Aktien","646.498,48","0,02","646.498,48","15.511,00","41,68","Vereinigte Staaten","NASDAQ","USD"
"ALSN","ALSO HOLDING AG","IT","Aktien","646.111,12","0,02","646.111,12","3.014,00","214,37","Schweiz","SIX Swiss Exchange","CHF"
"P40U","STARHILL GLOBAL REIT UNITS TRUST","Immobilien","Aktien","645.519,99","0,02","645.519,99","1.640.420,00","0,39","Singapur","Singapore Exchange","SGD"
"PAG","PARAGON GROUP OF COMPANIES","Financials","Aktien","645.285,17","0,02","645.285,17","102.168,00","6,32","Vereinigtes Königreich","London Stock Exchange","GBP"
"7337","HIROGIN HOLDINGS INC","Financials","Aktien","644.069,33","0,02","644.069,33","130.700,00","4,93","Japan","Tokyo Stock Exchange","JPY"
"RKT","ROCKET COMPANIES INC CLASS A","Financials","Aktien","643.426,74","0,02","643.426,74","72.214,00","8,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BYIT","BYTES TECHNOLOGY GROUP PLC","IT","Aktien","642.173,35","0,02","642.173,35","122.876,00","5,23","Vereinigtes Königreich","London Stock Exchange","GBP"
"KNOS","KAINOS GROUP PLC","IT","Aktien","642.249,76","0,02","642.249,76","41.208,00","15,59","Vereinigtes Königreich","London Stock Exchange","GBP"
"ACVA","ACV AUCTIONS INC CLASS A","Industrie","Aktien","641.362,66","0,02","641.362,66","49.222,00","13,03","Vereinigte Staaten","NASDAQ","USD"
"8958","GLOBAL ONE REAL ESTATE INVESTMENT","Immobilien","Aktien","641.087,65","0,02","641.087,65","829,00","773,33","Japan","Tokyo Stock Exchange","JPY"
"ENRG","ENERGIX RENEWABLE ENERGIES LTD","Versorger","Aktien","640.488,31","0,02","640.488,31","217.470,00","2,95","Israel","Tel Aviv Stock Exchange","ILS"
"4118","KANEKA CORP","Materialien","Aktien","639.811,99","0,02","639.811,99","24.200,00","26,44","Japan","Tokyo Stock Exchange","JPY"
"FRME","FIRST MERCHANTS CORP","Financials","Aktien","640.034,12","0,02","640.034,12","21.934,00","29,18","Vereinigte Staaten","NASDAQ","USD"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Aktien","639.465,58","0,02","639.465,58","17.758,00","36,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INA","INGENIA COMMUNITIES GROUP STAPLED","Immobilien","Aktien","639.056,91","0,02","639.056,91","226.469,00","2,82","Australien","Asx - All Markets","AUD"
"3295","HULIC REIT INC","Immobilien","Aktien","638.699,37","0,02","638.699,37","555,00","1.150,81","Japan","Tokyo Stock Exchange","JPY"
"5991","NHK SPRING LTD","Zyklische Konsumgüter ","Aktien","638.736,83","0,02","638.736,83","86.800,00","7,36","Japan","Tokyo Stock Exchange","JPY"
"NWL","NETWEALTH GROUP LTD","Financials","Aktien","637.085,79","0,02","637.085,79","71.042,00","8,97","Australien","Asx - All Markets","AUD"
"SYBT","STOCK YARDS BANCORP INC","Financials","Aktien","636.611,40","0,02","636.611,40","13.099,00","48,60","Vereinigte Staaten","NASDAQ","USD"
"ACO.X","ATCO LTD CLASS I","Versorger","Aktien","635.817,84","0,02","635.817,84","19.262,00","33,01","Kanada","Toronto Stock Exchange","CAD"
"HMS","HMS NETWORKS","IT","Aktien","635.648,97","0,02","635.648,97","13.686,00","46,45","Schweden","Nasdaq Omx Nordic","SEK"
"LSG","LEROY SEAFOOD GROUP","Nichtzyklische Konsumgüter","Aktien","635.024,67","0,02","635.024,67","121.126,00","5,24","Norwegen","Oslo Bors Asa","NOK"
"8334","GUNMA BANK LTD","Financials","Aktien","634.833,47","0,02","634.833,47","186.700,00","3,40","Japan","Tokyo Stock Exchange","JPY"
"4665","DUSKIN LTD","Industrie","Aktien","634.351,71","0,02","634.351,71","25.900,00","24,49","Japan","Tokyo Stock Exchange","JPY"
"COL","INMOBILIARIA COLONIAL SA","Immobilien","Aktien","634.387,55","0,02","634.387,55","99.159,00","6,40","Spanien","Bolsa De Madrid","EUR"
"GPOR","GULFPORT ENERGY CORP","Energie","Aktien","634.576,90","0,02","634.576,90","7.015,00","90,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAX","STROEER SE","Kommunikation","Aktien","634.209,23","0,02","634.209,23","11.554,00","54,89","Deutschland","Xetra","EUR"
"COK","CANCOM","IT","Aktien","634.271,40","0,02","634.271,40","17.645,00","35,95","Deutschland","Xetra","EUR"
"APE","EAGERS AUTOMOTIVE LTD","Zyklische Konsumgüter ","Aktien","633.064,56","0,02","633.064,56","67.700,00","9,35","Australien","Asx - All Markets","AUD"
"INT","WORLD FUEL SERVICES CORP","Energie","Aktien","632.795,52","0,02","632.795,52","26.768,00","23,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FBP","FIRST BANCORP","Financials","Aktien","632.808,00","0,02","632.808,00","53.856,00","11,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SINCH","SINCH","IT","Aktien","632.451,40","0,02","632.451,40","239.823,00","2,64","Schweden","Nasdaq Omx Nordic","SEK"
"DRH","DIAMONDROCK HOSPITALITY REIT","Immobilien","Aktien","631.939,31","0,02","631.939,31","77.921,00","8,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LOG","LOGISTA CIA DE DISTRIBUCION INTEGR","Industrie","Aktien","631.666,10","0,02","631.666,10","23.202,00","27,22","Spanien","Bolsa De Madrid","EUR"
"BGN","BANCA GENERALI","Financials","Aktien","630.968,52","0,02","630.968,52","18.994,00","33,22","Italien","Borsa Italiana","EUR"
"EVRI","EVERI HOLDINGS INC","Zyklische Konsumgüter ","Aktien","631.088,80","0,02","631.088,80","41.519,00","15,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CS","CAPSTONE COPPER CORP","Materialien","Aktien","630.114,78","0,02","630.114,78","134.164,00","4,70","Kanada","Toronto Stock Exchange","CAD"
"HUFV A","HUFVUDSTADEN CLASS A","Immobilien","Aktien","629.851,28","0,02","629.851,28","44.220,00","14,24","Schweden","Nasdaq Omx Nordic","SEK"
"1377","SAKATA SEED CORP","Nichtzyklische Konsumgüter","Aktien","629.765,36","0,02","629.765,36","21.600,00","29,16","Japan","Tokyo Stock Exchange","JPY"
"FIL","FILO MINING CORP","Materialien","Aktien","629.002,77","0,02","629.002,77","37.849,00","16,62","Kanada","Toronto Stock Exchange","CAD"
"UPBD","UPBOUND GROUP INC","Zyklische Konsumgüter ","Aktien","629.202,66","0,02","629.202,66","23.601,00","26,66","Vereinigte Staaten","NASDAQ","USD"
"HCP","HASHICORP INC CLASS A","IT","Aktien","628.399,59","0,02","628.399,59","23.439,00","26,81","Vereinigte Staaten","NASDAQ","USD"
"PARR","PAR PACIFIC HOLDINGS INC","Energie","Aktien","628.158,30","0,02","628.158,30","26.810,00","23,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4385","MERCARI INC","Zyklische Konsumgüter ","Aktien","628.165,83","0,02","628.165,83","36.900,00","17,02","Japan","Tokyo Stock Exchange","JPY"
"IBTX","INDEPENDENT BANK GROUP INC","Financials","Aktien","628.282,60","0,02","628.282,60","17.270,00","36,38","Vereinigte Staaten","NASDAQ","USD"
"ATEA","ATEA","IT","Aktien","627.811,99","0,02","627.811,99","45.847,00","13,69","Norwegen","Oslo Bors Asa","NOK"
"TNC","TENNANT","Industrie","Aktien","627.713,88","0,02","627.713,88","8.214,00","76,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CIM","CHIMERA INVESTMENT CORP","Financials","Aktien","627.066,32","0,02","627.066,32","110.399,00","5,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IWG","IWG","Immobilien","Aktien","627.224,41","0,02","627.224,41","294.063,00","2,13","Vereinigtes Königreich","London Stock Exchange","GBP"
"VPG","VISHAY PRECISION GROUP INC","IT","Aktien","626.692,76","0,02","626.692,76","16.694,00","37,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LAZR","LUMINAR TECHNOLOGIES INC CLASS A","Zyklische Konsumgüter ","Aktien","626.874,64","0,02","626.874,64","104.132,00","6,02","Vereinigte Staaten","NASDAQ","USD"
"DFDS","DFDS","Industrie","Aktien","626.651,64","0,02","626.651,64","15.577,00","40,23","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"HTLD","HEARTLAND EXPRESS INC","Industrie","Aktien","626.071,76","0,02","626.071,76","43.237,00","14,48","Vereinigte Staaten","NASDAQ","USD"
"6324","HARMONIC DRIVE SYSTEMS INC","Industrie","Aktien","625.571,92","0,02","625.571,92","20.600,00","30,37","Japan","Tokyo Stock Exchange","JPY"
"SCHO","SCHOUW & CO","Nichtzyklische Konsumgüter","Aktien","624.713,02","0,02","624.713,02","7.335,00","85,17","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"DNUT","KRISPY KREME INC","Zyklische Konsumgüter ","Aktien","624.535,66","0,02","624.535,66","40.607,00","15,38","Vereinigte Staaten","NASDAQ","USD"
"GOGL","GOLDEN OCEAN GROUP LTD","Industrie","Aktien","622.997,58","0,02","622.997,58","67.923,00","9,17","Norwegen","Oslo Bors Asa","NOK"
"8961","MORI TRUST REIT INC","Immobilien","Aktien","623.111,67","0,02","623.111,67","1.185,00","525,83","Japan","Tokyo Stock Exchange","JPY"
"AMPH","AMPHASTAR PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","623.113,40","0,02","623.113,40","17.420,00","35,77","Vereinigte Staaten","NASDAQ","USD"
"VRTV","VERITIV CORP","Industrie","Aktien","622.135,92","0,02","622.135,92","5.416,00","114,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IRWD","IRONWOOD PHARMA INC CLASS A","Gesundheitsversorgung","Aktien","621.820,53","0,02","621.820,53","59.733,00","10,41","Vereinigte Staaten","NASDAQ","USD"
"9934","INABA DENKISANGYO LTD","Industrie","Aktien","622.039,44","0,02","622.039,44","28.000,00","22,22","Japan","Tokyo Stock Exchange","JPY"
"DCBO","DOCEBO INC","IT","Aktien","622.101,75","0,02","622.101,75","16.041,00","38,78","Kanada","Toronto Stock Exchange","CAD"
"SF","STILLFRONT GROUP","Kommunikation","Aktien","621.413,44","0,02","621.413,44","292.385,00","2,13","Schweden","Nasdaq Omx Nordic","SEK"
"UA","UNDER ARMOUR INC CLASS C","Zyklische Konsumgüter ","Aktien","621.122,16","0,02","621.122,16","77.254,00","8,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XPRO","EXPRO GROUP HOLDINGS NV","Energie","Aktien","621.244,26","0,02","621.244,26","31.234,00","19,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DEA","EASTERLY GOVERNMENT PROPERTIES INC","Immobilien","Aktien","620.458,86","0,02","620.458,86","44.098,00","14,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KMT","KENNAMETAL INC","Industrie","Aktien","620.002,68","0,02","620.002,68","23.883,00","25,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"1951","EXEO GROUP INC","Industrie","Aktien","619.737,08","0,02","619.737,08","33.500,00","18,50","Japan","Tokyo Stock Exchange","JPY"
"ARJO B","ARJO CLASS B","Gesundheitsversorgung","Aktien","619.148,69","0,02","619.148,69","140.008,00","4,42","Schweden","Nasdaq Omx Nordic","SEK"
"COA","COATS GROUP PLC","Zyklische Konsumgüter ","Aktien","619.189,95","0,02","619.189,95","629.965,00","0,98","Vereinigtes Königreich","London Stock Exchange","GBP"
"PPH","PUSHPAY HOLDINGS LTD","Financials","Aktien","619.198,58","0,02","619.198,58","705.991,00","0,88","Neuseeland","New Zealand Exchange Ltd","NZD"
"PLMR","PALOMAR HOLDINGS INC","Financials","Aktien","618.499,56","0,02","618.499,56","12.306,00","50,26","Vereinigte Staaten","NASDAQ","USD"
"SPTN","SPARTANNASH","Nichtzyklische Konsumgüter","Aktien","618.051,12","0,02","618.051,12","25.206,00","24,52","Vereinigte Staaten","NASDAQ","USD"
"TXG","TOREX GOLD RESOURCES INC","Materialien","Aktien","617.532,78","0,02","617.532,78","37.677,00","16,39","Kanada","Toronto Stock Exchange","CAD"
"1979","TAIKISHA LTD","Industrie","Aktien","617.214,41","0,02","617.214,41","22.900,00","26,95","Japan","Tokyo Stock Exchange","JPY"
"MCY","MERCURY GENERAL CORP","Financials","Aktien","616.927,67","0,02","616.927,67","20.287,00","30,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SPT","SPIRENT COMMUNICATIONS","IT","Aktien","616.937,05","0,02","616.937,05","272.689,00","2,26","Vereinigtes Königreich","London Stock Exchange","GBP"
"IMKTA","INGLES MARKETS INC CLASS A","Nichtzyklische Konsumgüter","Aktien","616.207,80","0,02","616.207,80","6.695,00","92,04","Vereinigte Staaten","NASDAQ","USD"
"ANF","ABERCROMBIE & FITCH CLASS A","Zyklische Konsumgüter ","Aktien","615.971,18","0,02","615.971,18","26.167,00","23,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAKE","CHEESECAKE FACTORY INC","Zyklische Konsumgüter ","Aktien","615.987,96","0,02","615.987,96","18.284,00","33,69","Vereinigte Staaten","NASDAQ","USD"
"PPBI","PACIFIC PREMIER BANCORP INC","Financials","Aktien","615.002,72","0,02","615.002,72","27.653,00","22,24","Vereinigte Staaten","NASDAQ","USD"
"THR","THERMON GROUP HOLDINGS INC","Industrie","Aktien","615.233,46","0,02","615.233,46","29.607,00","20,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TEP","TELECOM PLUS PLC","Versorger","Aktien","614.342,35","0,02","614.342,35","27.064,00","22,70","Vereinigtes Königreich","London Stock Exchange","GBP"
"NA9","NAGARRO N","IT","Aktien","614.008,15","0,02","614.008,15","5.716,00","107,42","Deutschland","Xetra","EUR"
"KTOS","KRATOS DEFENSE & SECURITY SOLUTI","Industrie","Aktien","614.040,00","0,02","614.040,00","47.600,00","12,90","Vereinigte Staaten","NASDAQ","USD"
"VRE","VERIS RESIDENTIAL INC","Immobilien","Aktien","613.517,40","0,02","613.517,40","37.524,00","16,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TAH","TABCORP HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","612.988,10","0,02","612.988,10","883.405,00","0,69","Australien","Asx - All Markets","AUD"
"4480","MEDLEY INC","Gesundheitsversorgung","Aktien","612.683,14","0,02","612.683,14","23.600,00","25,96","Japan","Tokyo Stock Exchange","JPY"
"RAMP","LIVERAMP HOLDINGS INC","IT","Aktien","611.669,19","0,02","611.669,19","25.391,00","24,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KN","KNOWLES CORP","IT","Aktien","611.714,32","0,02","611.714,32","36.239,00","16,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SIS","SAVARIA CORP","Industrie","Aktien","611.287,10","0,02","611.287,10","49.885,00","12,25","Kanada","Toronto Stock Exchange","CAD"
"PSM","PROSIEBEN SAT.1 MEDIA N","Kommunikation","Aktien","611.323,75","0,02","611.323,75","68.194,00","8,96","Deutschland","Xetra","EUR"
"4530","HISAMITSU PHARMACEUTICAL INC","Gesundheitsversorgung","Aktien","611.390,59","0,02","611.390,59","22.200,00","27,54","Japan","Tokyo Stock Exchange","JPY"
"VIG","VIENNA INSURANCE GROUP AG","Financials","Aktien","611.410,27","0,02","611.410,27","20.781,00","29,42","Österreich","Wiener Boerse Ag","EUR"
"BSL","RAFFLES MEDICAL GROUP LTD","Gesundheitsversorgung","Aktien","611.536,09","0,02","611.536,09","555.021,00","1,10","Singapur","Singapore Exchange","SGD"
"DOC","DO & CO AKTIENGESELLSCHAFT AG","Industrie","Aktien","610.376,43","0,02","610.376,43","5.206,00","117,24","Österreich","Wiener Boerse Ag","EUR"
"6055","JAPAN MATERIAL LTD","IT","Aktien","610.053,24","0,02","610.053,24","40.900,00","14,92","Japan","Tokyo Stock Exchange","JPY"
"LIF","LABRADOR IRON ORE ROYALTY CORP","Materialien","Aktien","609.580,96","0,02","609.580,96","27.063,00","22,52","Kanada","Toronto Stock Exchange","CAD"
"OCFC","OCEANFIRST FINANCIAL CORP","Financials","Aktien","609.808,00","0,02","609.808,00","38.113,00","16,00","Vereinigte Staaten","NASDAQ","USD"
"TPZ","TOPAZ ENERGY CORP","Energie","Aktien","608.002,54","0,02","608.002,54","42.485,00","14,31","Kanada","Toronto Stock Exchange","CAD"
"6951","JEOL LTD","Gesundheitsversorgung","Aktien","607.645,14","0,02","607.645,14","21.000,00","28,94","Japan","Tokyo Stock Exchange","JPY"
"4061","DENKA CO LTD","Materialien","Aktien","607.692,87","0,02","607.692,87","30.500,00","19,92","Japan","Tokyo Stock Exchange","JPY"
"NXGN","NEXTGEN HEALTHCARE INC","Gesundheitsversorgung","Aktien","607.494,60","0,02","607.494,60","36.290,00","16,74","Vereinigte Staaten","NASDAQ","USD"
"IDIA","IDORSIA N LTD","Gesundheitsversorgung","Aktien","607.520,16","0,02","607.520,16","62.948,00","9,65","Schweiz","SIX Swiss Exchange","CHF"
"JBSS","SANFILIPPO JOHN B & SON INC","Nichtzyklische Konsumgüter","Aktien","606.964,05","0,02","606.964,05","5.839,00","103,95","Vereinigte Staaten","NASDAQ","USD"
"PERI","PERION NETWORK LTD","Kommunikation","Aktien","606.005,86","0,02","606.005,86","17.284,00","35,06","Israel","Tel Aviv Stock Exchange","ILS"
"2810","HOUSE FOODS GROUP","Nichtzyklische Konsumgüter","Aktien","606.058,83","0,02","606.058,83","27.600,00","21,96","Japan","Tokyo Stock Exchange","JPY"
"6588","TOSHIBA TEC CORP","IT","Aktien","606.102,89","0,02","606.102,89","21.000,00","28,86","Japan","Tokyo Stock Exchange","JPY"
"WMK","WEIS MARKETS INC","Nichtzyklische Konsumgüter","Aktien","605.806,56","0,02","605.806,56","7.344,00","82,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
